id,titulo,fecha_inicio,formato,estado,episodios,duracion,generos,estudios,calificacion,popularidad,favoritos
212503,Hyouken no Majutsushi ga Sekai wo Suberu II,2026-10-09,TV,NOT_YET_RELEASED,,,Action|Adventure|Fantasy,Zero-G,,7034,74
207327,Doko yori mo Tooi Basho ni Iru Kimi e,2026-10-09,MOVIE,NOT_YET_RELEASED,1.0,,Mystery|Romance,TMS Entertainment,,8076,69
205909,Hotaru no Yomeiri,2026-10-09,TV,NOT_YET_RELEASED,,,Drama|Romance,david production,,14195,183
202390,Girls und Panzer: Saishuushou 5,2026-10-09,MOVIE,NOT_YET_RELEASED,1.0,,Action|Sports,Actas,,3053,49
211778,"Sekai Saikyou no Majo, Hajimemashita",2026-10-07,TV,NOT_YET_RELEASED,,,Action|Comedy|Fantasy,Bridge|Aisle,,2739,23
178868,Magic Knight Rayearth (2026),2026-10-07,TV,NOT_YET_RELEASED,,,Adventure|Fantasy|Mahou Shoujo|Mecha,E&H Production,,5506,36
206949,Kyouran Reijou Nia Liston,2026-10-06,TV,NOT_YET_RELEASED,,,Fantasy,KONAMI animation,,4985,43
200294,Choujun! Choujou Senpai,2026-10-06,TV,NOT_YET_RELEASED,,,Comedy|Slice of Life,Arvo Animation,,1524,12
160803,Mahou Shoujo Ikusei Keikaku: restart,2026-10-06,TV,NOT_YET_RELEASED,,,Action|Fantasy|Mahou Shoujo|Thriller,SynergySP,,4239,33
209463,Kanata Kara,2026-10-05,TV,NOT_YET_RELEASED,,,Adventure|Fantasy|Romance,Studio DEEN,,1766,9
209872,Ranma 1/2 (2024) 3rd Season,2026-10-04,TV,NOT_YET_RELEASED,,,Action|Comedy|Romance,MAPPA,,8823,65
209499,TANK CHAIR: Sensha Isu,2026-10-04,TV,NOT_YET_RELEASED,,,Action|Sci-Fi,POLYGON PICTURES,,2149,15
202079,Oji-san wa Kawaii Mono ga Osuki.,2026-10-04,TV,NOT_YET_RELEASED,,,Comedy|Slice of Life,LIDENFILMS,,1291,7
191788,Aoashi 2nd Season,2026-10-04,TV,NOT_YET_RELEASED,24.0,,Sports,TMS Entertainment,,14131,152
191656,Seitokai ni mo Ana wa Aru!,2026-10-04,TV,NOT_YET_RELEASED,,,Comedy|Slice of Life,Passione,,8692,74
189123,Ao no Hako Season 2,2026-10-04,TV,NOT_YET_RELEASED,,,Romance|Slice of Life|Sports,Electric Circus,,30669,435
214968,Nezumi-kun no Chokki (TV) 2nd Season,2026-10-03,TV_SHORT,NOT_YET_RELEASED,,,Fantasy,Creadom8,,22,1
212799,Marronnier Oukoku no Shichinin no Kishi,2026-10-03,TV,NOT_YET_RELEASED,,,Comedy|Fantasy|Romance,J.C.STAFF,,1288,8
209562,Vertex Force,2026-10-03,TV,NOT_YET_RELEASED,,,Action|Mecha,Shogakukan Music & Digital Entertainment,,1393,8
178083,Tokyo Revengers: Santen Sensou-hen,2026-10-03,TV,NOT_YET_RELEASED,,,Action|Drama|Romance|Supernatural,LIDENFILMS,,21376,253
212888,Temppal: Item no Chikara,2026-10-02,TV,NOT_YET_RELEASED,,,Action|Adventure|Comedy|Fantasy,J.C.STAFF,,7120,89
212144,Kizu darake Seijo yori Houfuku wo Komete Season2,2026-10-02,TV_SHORT,NOT_YET_RELEASED,,,Fantasy|Romance,Imageworks Studio|Imagica Infos,,885,5
195516,Kusuriya no Hitorigoto 3rd Season,2026-10-02,TV,NOT_YET_RELEASED,,,Drama|Mystery,OLM,,62735,1086
213805,Koori no Jouheki 2nd Season,2026-10-01,TV,NOT_YET_RELEASED,,,Comedy|Drama|Romance|Slice of Life,Studio KAI,,16108,175
159042,Tensei Shitara Ken Deshita 2nd Season,2026-10-01,ONA,NOT_YET_RELEASED,,,Action|Adventure|Fantasy,C2C,,35141,544
214593,Yuusanchi! from Yuuhachi,,TV_SHORT,NOT_YET_RELEASED,,,Comedy|Slice of Life,Fanworks,,47,2
213658,Diamond no Ace act II: Second Season Part 2,,TV,NOT_YET_RELEASED,,,Sports,OLM,,1985,19
213657,Yozakura-san Chi no Daisakusen 2nd Season Part 2,,TV,NOT_YET_RELEASED,,,Action|Comedy|Romance,SILVER LINK.,,4151,38
213298,Yuruyuru Zukan,,TV_SHORT,NOT_YET_RELEASED,,,Sci-Fi,Imagica Infos|Imageworks Studio,,78,2
213068,Jyuоu Mujin Dandivine,,TV,NOT_YET_RELEASED,,,Action|Mecha,LIDENFILMS|Kayac Animation,,424,3
212667,Hitozukiai ga Nigate na Miboujin no Yukionna-san to Noroi no Yubiwa,,TV,NOT_YET_RELEASED,,,Ecchi|Supernatural,Studio Houkiboshi,,2652,49
211877,Kanojo no Tomodachi,,TV,NOT_YET_RELEASED,,,Drama|Ecchi|Romance,Quad,,3576,56
209709,Sirotan,,TV,NOT_YET_RELEASED,,,,Lesprit,,159,4
209502,Shiotaiou no Satou-san ga Ore ni dake Amai,,TV,NOT_YET_RELEASED,,,Comedy|Romance,Tezuka Productions,,4551,48
209219,Tensei Goblin Dakedo Shitsumon Aru?,,TV,NOT_YET_RELEASED,,,Action|Adventure|Comedy|Drama|Fantasy|Romance,,,1758,15
209132,Junket Bank,,TV,NOT_YET_RELEASED,,,Drama|Psychological|Thriller,CUE,,1265,6
209032,Mahou no Shimai LuluttoLilly Part 2,,TV,NOT_YET_RELEASED,,,Mahou Shoujo,Studio Pierrot,,830,6
208025,Dark Summoner to Dekiteiru,,TV_SHORT,NOT_YET_RELEASED,,,Comedy|Ecchi|Fantasy|Romance,AtoriE|Nyan Pollution-ω-,,3530,47
207329,"Tsuihou Sareta Cheat Fuyo Majutsushi wa Kimama na Second Life wo Ouka Suru.: Ore wa Buki dake ja Naku, Arayuru Mono ni ""Kyouka Point"" wo Fuyo Dekiru shi, Ore no Ishi de Itsudemo Kouka wo Kaijo Dekiru kedo, Nokotta Hitotachi Daijoubu?",,TV,NOT_YET_RELEASED,,,Adventure|Comedy|Fantasy|Slice of Life,P.A.WORKS,,3073,37
207191,"Doumo, Suki na Hito ni Horegusuri wo Irai Sareta Majo desu.",,TV,NOT_YET_RELEASED,,,Fantasy|Romance,diomedéa,,4554,44
206401,FX Senshi Kurumi-chan,,TV,NOT_YET_RELEASED,,,Drama|Slice of Life,Passione,,3289,26
205896,Shinja Zero no Megami-sama to Hajimeru Isekai Kouryaku,,TV,NOT_YET_RELEASED,,,Adventure|Fantasy,HORNETS,,1761,28
204650,Tougen Anki: Nikko・Kegon no Taki-hen,,TV,NOT_YET_RELEASED,,,Action|Mystery|Supernatural,,,9035,107
204389,Yasei no Last Boss ga Arawareta! 2nd Season,,TV,NOT_YET_RELEASED,,,Action|Adventure|Fantasy,WAO World,,7983,92
204011,PSYЯEN,,TV,NOT_YET_RELEASED,,,Action|Adventure|Sci-Fi,Satelight,,5690,61
203473,Kyoufu Collector,,TV,NOT_YET_RELEASED,,,Horror|Mystery|Supernatural,,,1942,17
202250,Kashita Maryoku wa [Revo Barai] de Kyousei Choushuu,,TV,NOT_YET_RELEASED,,,Action|Adventure|Fantasy,SynergySP,,2506,26
200455,"Yowaki MAX Reijou Nano ni, Ratsuwan Konyakusha-sama no Kake ni Notte Shimatta",,TV,NOT_YET_RELEASED,,,Comedy|Fantasy|Romance,Jumondou,,2506,21
199594,Tetsuryou! meet with Tetsudou Musume,,TV,NOT_YET_RELEASED,,,Slice of Life,East Fish Studio,,1186,4
199426,Hotel Inhumans 2nd Season,,TV,NOT_YET_RELEASED,,,Action|Drama,Bridge,,1805,12
199007,#Zombie Sagashitemasu,,TV,NOT_YET_RELEASED,,,Action|Comedy|Horror|Mystery|Supernatural,Studio Comet,,2256,17
